ask,ask
asked,ask
asking,ask
asks,ask
badservice,bad service
can,can
could,can
cancel,cancel
canceled,cancel
cancellation,cancel
cancelled,cancel
cancelling,cancel
cancels,cancel
delay,delay
delayed,delay
delaying,delay
delays,delay
flight,flight
flighted,flight
fighting,flight
flightled,flight
flights,flight
gave,give
give,give
given,give
gives,give
giving,give
help,help
helped,help
helping,help
helps,help
knew,know
know,know
known,know
knows,know
need,need
needed,need
needing,need
needs,need
offer,offer
offered,offer
offering,offer
offers,offer
it's,it is
that's,that is
he's,he is
she's,she is
can't,cannot
cant,cannot
I'm,I am
I've,I have
ive,I have
I'll,I will
you're,you are
I'd,I will
ur,your
u,you
ticket,ticket
tickets,ticket
airports,airport
airport,airport
errors,error
emails,email
links,link
site,website
cust,customer
customers,customer
svc,service
services,service
seating,seat
awaiting,await
seems,seem
times,time
messages,message
